exercise_name,artifact,type,parent_exercise,tag,dose,cue_chars,current_cue,harmonized_cue
Círculos de tobillo + elevación con banda,activacion,main,,Minibanda,,116,"Círculos primero, después elevaciones con la banda en los tobillos para resistir la subida. Bajada lenta y completa.",
Marcha con rodilla alta,activacion,main,,Sin equipo,,119,"Rodilla arriba, pie del suelo activo, tronco erguido. Sin balancearte hacia atrás para levantar más — esa es la trampa.",
Caminata lateral con minibanda,recuperacion,variant,Caminata lateral en media sentadilla,Minibanda,,121,"Banda en los tobillos o por encima de las rodillas. Mismo paso contra resistencia, y sin que el pie de atrás se arrastre.",
Bicicleta lenta,core,variant,Toques de talón (pingüinos),,,123,"Codo hacia la rodilla contraria mientras la otra pierna se extiende sin tocar el piso. Lento, con rotación real del tronco.",
Elevación de talones excéntrica,recuperacion,main,,Sin equipo,60s,124,"Sube con las dos piernas y baja con una sola, contando tres segundos. La bajada es el ejercicio. Alterna la pierna que baja.",
Prensa a una pierna,rodillas,main,,Prensa,3×10 por pierna,125,"Pie alto y levemente hacia afuera en la plataforma, para cargar glúteo y vasto interno. Controla la bajada; no rebotes abajo.",
Skip A lento,activacion,main,,Sin equipo,,127,"Rodilla a la altura de la cadera, pie de apoyo firme, brazos de carrera. Postura alta y contacto corto — es técnica, no cardio.",
Elevación lateral con banda,activacion,main,,Minibanda,,128,"Banda en los tobillos. Mismo movimiento contra resistencia. El tronco se queda vertical — el glúteo medio trabaja, no la lumbar.",
"Bajada excéntrica, rodilla flexionada",aquiles,main,,Piso plano,3×15 por lado,131,"Igual que el anterior, en piso y frenando en el talón, pero con la rodilla flexionada unos 30 grados para llevar la carga al sóleo.",
Círculos de cadera,activacion,main,,Sin equipo,,134,"Parado en una pierna, rodilla levantada, dibuja círculos amplios hacia adelante y hacia atrás. El tronco no se mueve — solo la cadera.",
Sentadilla a de pie con banda,activacion,main,,Minibanda,,135,"Banda por encima de las rodillas. Mismo movimiento, rodillas empujando hacia afuera todo el descenso — no dejes que se junten al subir.",
Rotación externa con minibanda,recuperacion,variant,Rotación externa isométrica,Minibanda,,136,"Banda anclada a la altura del codo, codo pegado al cuerpo. Rota hacia afuera y vuelve más lento de lo que fuiste. Rango corto y control.",
Psoas de rodillas,activacion,main,,Sin equipo,45s,140,"Media rodilla, pie de adelante plano. Mete la pelvis (glúteos por debajo) antes de avanzar — sin eso estás estirando la lumbar, no el psoas.",
Postura de la paloma,rodillas,main,,Sin equipo,1×2 min por lado,147,"Para glúteo mayor y piramidal, que se agarrotan con las horas de sillín y de asfalto. Respira y suelta; dos minutos no son dos minutos de forcejeo.",
"Estiramiento en pared, rodilla flexionada",aquiles,main,,Pared,1×2 min por lado,148,"Misma posición, pero flexionando levemente la rodilla de atrás sin despegar el talón. El estiramiento baja y se acerca al tendón: ahí está el sóleo.",
Skipping bajo,aquiles,main,,Sin equipo,3×30s,153,"Skipping suave en el lugar o avanzando. Rebote rápido, apoyo de metatarso, sin machacar el talón. Si el tendón habla, se corta el bloque — no se negocia.",
Dead bug con banda,activacion,main,,Minibanda,,154,"Banda por encima de las rodillas, presión hacia afuera constante. Extiende brazo y pierna contrarios sin dejar que la banda gane y sin despegar la lumbar.",
Dead bug isométrico,core,variant,Dead bug,,,155,"Brazos y rodillas a 90°, empuja las manos contra las rodillas y sostén la tensión respirando normal. La regresión correcta si la lumbar no se queda quieta.",
Fascia plantar con pelota,movilidad,variant,Arco y dedos del pie,Pelota,,155,"Rueda la planta del pie sobre la pelota, del talón a los dedos, lento, frenando en los puntos que se quejan. Presión que puedas sostener respirando normal.",
Empeine y tibial con rodillo,movilidad,variant,Tobillos y empeine,Rodillo,,155,"En cuadrupedia, el rodillo sobre la parte de adelante de la tibia, y rueda despacio de la rodilla al tobillo. Zona sensible: menos presión de la que crees.",
Marcha con rodilla alta y banda,activacion,main,,Minibanda,,157,"Banda en los tobillos. Misma marcha contra resistencia, despacio en la bajada: la banda quiere devolverte el pie al piso y ahí es donde se pierde el control.",
Puente de glúteos con banda,activacion,main,,Minibanda,,158,"Banda por encima de las rodillas. Mismo movimiento, pero empuja las rodillas hacia afuera contra la banda todo el tiempo — ahí es donde entra el glúteo medio.",
Abducción de cadera en polea,rodillas,main,,Polea baja,3×12-15 por lado,158,"Tobillera en la polea baja, de costado a la máquina, barre la pierna hacia afuera. El tronco se queda quieto — si te inclinas para el otro lado, baja el peso.",
Rodilla al pecho,activacion,main,,Sin equipo,30s,159,"Acostado, trae una rodilla al pecho con la otra pierna extendida en el piso. Si la pierna de abajo se despega, la cadera está corta — bájala y afloja el rango.",
Elevación lateral de pierna,activacion,main,,Sin equipo,,160,"De pie o de costado, sube la pierna al lateral con el pie apuntando levemente hacia abajo. Rango medio, sin impulso — si el tronco se inclina, bajaste el rango.",
Y-T-W con banda,recuperacion,variant,Y-T-W boca abajo,Banda larga,,161,"De pie con la banda al frente, misma secuencia contra resistencia baja. Muchas repeticiones y poca tensión — el manguito posterior responde a eso, no a la carga.",
Zancada atrás con rodilla arriba,rodillas,main,,Sin equipo,3×12 por pierna,162,"Paso atrás a la zancada y, sin pausa, sube esa rodilla al pecho en un solo movimiento. Es estabilidad dinámica: la mitad del ejercicio es no tambalearte al subir.",
Elevación de talón en prensa,aquiles,main,,Prensa · rango limitado,4×8-10,166,"Igual, tempo lento, pero sin dejar que el talón baje más allá de la línea del apoyo. Mismo motivo: en la inserción, el rango de más no es más estímulo, es compresión.",
Peso muerto rumano,rodillas,main,,Barra o mancuernas,3×10-12,166,"Bisagra de cadera, no sentadilla: los glúteos van hacia atrás y las rodillas casi no se mueven. Una cadena posterior fuerte le saca a la rodilla el trabajo de frenar.",
Elevación de talón en prensa,aquiles,main,,Prensa,4×8-10,170,"Piernas casi estiradas, sin bloquear la rodilla hacia atrás, empujando con el metatarso. Mismo tempo lento. Con la rodilla extendida el protagonista pasa a ser el gemelo.",
Caminata de oso,recuperacion,main,,Sin equipo,60s,171,"Cuadrupedia con las rodillas a un palmo del piso. Avanza y retrocede moviendo mano y pie contrarios, con la cadera baja y sin que se balancee de lado a lado. Pasos cortos.",
Glúteo con pelota,movilidad,variant,Figura 4 boca arriba,Pelota,,172,"Sentado sobre la pelota, busca el punto del glúteo que se queja y quédate quieto ahí respirando en vez de rodar. Cruza el tobillo sobre la rodilla para llegar más profundo.",
Arrugar la toalla,aquiles,main,,Toalla,3×20 por lado,173,"Sentado y descalzo, toalla en el piso, arrúgala hacia ti solo con los dedos. Un pie fuerte se queda con parte del trabajo del despegue en vez de mandárselo entero al tendón.",
Sentadilla búlgara,rodillas,main,,Silla o sillón,3×8-12 por pierna,174,"Pie de atrás sobre la silla, pecho arriba. La rodilla de adelante viaja sobre el dedo del medio, nunca hacia adentro. Si se mete, acorta el rango antes de acortar la técnica.",
Rotación externa en polea,hombro,main,,Polea baja,3×15 por brazo,175,"Igual que con banda, pero la polea mantiene la tensión pareja en todo el recorrido. Codo pegado, toalla abajo. Peso bajo y sin tirones: aquí no se busca carga, se busca fondo.",
Sentadilla a de pie,activacion,main,,Sin equipo,,178,"Agárrate las puntas de los pies, hunde la cadera hasta abajo y sube el pecho sin soltar los pies. Después estira las piernas para estirar isquios. Un ciclo por repetición, lento.",
Mariposa,movilidad,main,,Sin equipo,60s,179,"Plantas de los pies juntas, y inclínate desde la cadera con la espalda larga — no redondees para llegar más abajo, que es puro engaño. Los codos pueden empujar suave las rodillas.",
Aducción en polea o máquina,rodillas,main,,Polea o máquina,3×12-15 por lado,180,"El par de la abducción, y el que casi nadie hace. Aductores fuertes equilibran la tracción de la banda iliotibial y estabilizan la pelvis desde adentro. Rango completo, sin rebote.",
Escorpión boca abajo,recuperacion,main,,Sin equipo,45s,183,"Boca abajo, brazos en cruz. Lleva un talón cruzado hacia la mano contraria dejando que la cadera rote, y el pecho lo más pegado al piso que puedas. Lento a la ida y lento a la vuelta.",
Cuádriceps de costado,movilidad,main,,Sin equipo,45s,185,"De costado, agarra el tobillo de arriba y lleva el talón al glúteo con la pelvis metida y la rodilla apuntando al piso, no abierta hacia afuera. Si la lumbar se arquea, afloja el rango.",
Círculos de tobillo + elevación,activacion,main,,Sin equipo,,186,"Diez círculos en cada dirección con cada pie, y después elevaciones de talón lentas. El tobillo es la primera articulación que toca el piso — si está dormido, todo lo de arriba compensa.",
Remo con mancuernas en banco inclinado,hombro,main,,Banco inclinado,3×12,186,"Boca abajo sobre el banco a 30-45°. Rema apretando el medio de la espalda. El banco es el punto: te saca la lumbar de la ecuación, así que el peso lo levanta lo que tiene que levantarlo.",
Búlgara con mancuernas,rodillas,main,,Mancuernas,3×8-10 por pierna,186,"El mejor ejercicio que hay para blindar rodillas. Suma peso solo cuando las 10 repeticiones salgan sin que la rodilla se meta — la carga amplifica la técnica que ya tienes, buena o mala.",
Isquios acostado,activacion,main,,Sin equipo,45s,187,"Acostado, sujeta el muslo por detrás de la rodilla con las dos manos. Desde ahí estira la rodilla hacia el techo hasta sentir el isquio, y no más. La otra pierna queda apoyada en el piso.",
Tríceps y dorsal por encima de la cabeza,movilidad,main,,Sin equipo,30s,187,"Codo arriba junto a la oreja, mano entre los omóplatos, y empuja suave el codo con la otra mano. Costillas abajo — si la lumbar se arquea, ganaste rango con la espalda y no con el hombro.",
Step-down excéntrico,rodillas,main,,Escalón,3×10 por pierna,187,"De costado en un escalón, baja el otro pie hacia el piso en 3-4 segundos y sube rápido. La lentitud de la bajada es todo el ejercicio — apunta al vasto interno, el que endereza la rótula.",
Plancha copenhague (modificada),rodillas,main,,Silla o sillón,3×20-30s por lado,189,"Plancha lateral con la rodilla de arriba apoyada en la silla y la pierna de abajo despegada del piso. Trabaja los aductores, que son el contrapeso de la banda iliotibial del lado de afuera.",
Plancha lateral dinámica,recuperacion,main,,Sin equipo,45s,190,"Sobre el antebrazo, cadera arriba y cuerpo en línea. Baja la cadera hasta rozar el piso y vuelve a subir, lento y controlado. Con las rodillas apoyadas si la versión larga te rompe la línea.",
"Bajada excéntrica, rodilla flexionada",aquiles,main,,Escalón,3×15 por lado,191,"Exactamente lo mismo, pero con la rodilla de trabajo flexionada unos 30 grados todo el movimiento. Eso baja la carga del gemelo al sóleo, que es el músculo que más trabaja corriendo en llano.",
Gemelo en pared,movilidad,main,,Pared,45s,192,"Misma posición, pero ahora con la rodilla estirada y el talón clavado en el piso. Rodilla derecha es gemelo. Cadera adelante y tronco erguido — si te vas de espaldas, perdiste el estiramiento.",
Caminata lateral en media sentadilla,recuperacion,main,,Sin equipo,60s,192,"Media sentadilla, pecho alto, y camina de lado dando pasos parejos sin juntar los pies del todo. Las rodillas empujando hacia afuera todo el tiempo y la cadera a la misma altura. Ida y vuelta.",
Tensor y vasto externo con rodillo,movilidad,variant,Cruce de cadera externa,Rodillo,,194,"El rodillo justo debajo del hueso de la cadera por fuera, y después en el lateral del muslo. Presión moderada y lenta. No busques la cintilla: busca el músculo de arriba y el de adelante-afuera.",
Isométrico en puntas (piso),aquiles,main,,Sin equipo,3×30-45s,196,"Igual, pero en piso plano, no en el escalón: con dolor en la inserción no queremos el talón por debajo del nivel del pie. Sube a puntas y sostén quieto arriba. Es el analgésico natural del tendón.",
Cuello y trapecio,movilidad,main,,Sin equipo,30s,196,"Sentado, la mano del lado que estiras sujeta el borde de la colchoneta, y lleva la oreja al hombro contrario sin encoger el hombro. No tires con la otra mano: el peso de la cabeza alcanza y sobra.",
Esfinge suave,movilidad,main,,Sin equipo,60s,197,"Boca abajo, codos debajo de los hombros, pelvis pesada en el piso. Es una extensión suave y sostenida, no una cobra. Si te aprieta la lumbar, lleva los codos más adelante hasta que deje de apretar.",
Antebrazos y muñecas,movilidad,main,,Sin equipo,30s,200,"En cuadrupedia, gira la mano hasta que los dedos apunten a las rodillas y siéntate lento hacia atrás. Después gira la mano y apoya el dorso para el otro lado. Horas agarrado al manillar se pagan aquí.",
Almeja lenta,recuperacion,main,,Sin equipo,45s,200,"De costado, rodillas dobladas y talones juntos. Abre la rodilla de arriba sin que la cadera se caiga hacia atrás — pon la mano en el glúteo y siente que trabaja ahí. Lento, y sostén un segundo arriba.",
Extensión de rodilla (rango terminal),rodillas,main,,Máquina,3×15,200,"Solo los últimos 30 grados, de rodilla apenas flexionada a estirada, con peso moderado y apretando arriba. El rango completo cizalla la rodilla; este pedacito aísla el vasto interno sin cobrarte nada.",
Isquios boca arriba,movilidad,main,,Sin equipo,45s,202,"Agárrate por detrás del muslo y estira la rodilla hasta donde llegue sin que la cadera se despegue del piso. La otra pierna queda apoyada. La punta del pie hacia ti solo al final, no desde el principio.",
Isométrico en puntas (escalón),aquiles,main,,Escalón,3×30-45s,203,"Con los dos pies en el borde del escalón, sube a puntas y sostén arriba, quieto. Los isométricos pesados son analgésicos naturales para el tendón: si arrancas con esto, el resto de la rutina duele menos.",
Saltos a una pierna,aquiles,main,,Sin equipo,3×10 por lado,203,"Saltitos en el lugar sobre una pierna, aterrizando en el metatarso con la rodilla suave. Es el último escalón antes de volver a correr fuerte. Si mañana amaneces más rígido que hoy, era demasiado pronto.",
Brazada en seco,activacion,main,,Sin equipo,,204,"Inclínate un poco adelante y haz el gesto de la brazada despacio, con el codo alto y el brazo largo. Es para llegar al agua con el gesto despierto, no para corregir nada: la técnica se trabaja en el agua.",
Puente de glúteos con marcha,core-corredor,main,,Sin equipo,1×20 repeticiones,204,"Cadera arriba y fija; despega un pie por vez llevando la rodilla al pecho y alterna. La pelvis no cae para ningún lado. Si se hunde, el glúteo todavía no está despierto — baja el ritmo antes que el rango.",
Estocada inversa con brazos arriba,recuperacion,main,,Sin equipo,45s,204,"Paso largo hacia atrás bajando la rodilla, con los dos brazos estirados por encima de la cabeza y las costillas abajo. Los brazos arriba son lo que convierte esto en trabajo de cadera y torácica a la vez.",
Caminata de oruga,recuperacion,main,,Sin equipo,60s,205,"De pie, pliégate hacia adelante y camina con las manos hasta plancha, sin mover los pies. Vuelve caminando las manos hacia atrás. Las piernas lo más estiradas que aguanten — ahí está el trabajo de isquios.",
Sentadilla isométrica en pared,rodillas,main,,Pared · disco opcional,3×45s,205,"Igual que en casa, con un disco sobre los muslos si quieres más. Si hoy la rodilla molesta, haz esto primero: la isometría baja el dolor y te deja entrenar el resto con buena técnica en vez de compensando.",
Pogos (saltitos de tobillo),aquiles,main,,Sin equipo,3×20,210,"Saltitos chicos en el lugar, solo desde el tobillo, con la rodilla casi fija. El contacto tiene que ser corto y sonar poco. No buscas altura: buscas rigidez elástica, que es lo que el tendón hace cuando corres.",
Elevación de talón sentado,aquiles,main,,Máquina · rango limitado,4×6-8,212,"Pesado, 3 segundos arriba y 3 abajo, pero frena cuando el talón llega a la altura del apoyo — no lo dejes caer por debajo. Ese último tramo es el que comprime la inserción, y es el que no te está dejando mejorar.",
Zancada spiderman con rotación,recuperacion,main,,Sin equipo,60s,219,"Desde plancha, lleva el pie por fuera de la mano del mismo lado. Baja el codo hacia el piso, y desde ahí rota abriendo el brazo al techo. Dos o tres repeticiones lentas por lado dentro del bloque, no una sola sostenida.",
"Estiramiento en pared, pierna recta",aquiles,main,,Pared,1×2 min por lado,221,"Manos en la pared, pierna de atrás recta y el talón clavado en el piso. Estira el gemelo. Solo después de entrenar, con el tejido caliente — estirar un aquiles frío e irritado es la forma más rápida de encender el cuadro.",
Estocada lateral en media rodilla,movilidad,main,,Sin equipo,45s,221,"De rodillas, una pierna estirada al costado con el pie apoyado, y lleva la cadera hacia atrás y hacia el lado contrario. Espalda larga. Es el aductor largo, que en carrera y en bici trabaja mucho más de lo que nadie cree.",
CARs de tobillo,recuperacion,main,,Sin equipo,45s,221,"Sentado con la pierna estirada, dibuja el círculo más grande que puedas con la punta del pie, en las dos direcciones. La rodilla y la pierna quedan quietas. Busca el borde del rango y quédate ahí un segundo en cada punto.",
CARs de cuello,recuperacion,main,,Sin equipo,60s,222,"Sentado, hombros quietos. Mentón al pecho, rueda hacia un hombro, lleva la oreja atrás, y completa el círculo — despacísimo, buscando dónde se traba. Nunca a la fuerza y nunca rápido: si aparece mareo o hormigueo, detente.",
Elevación de punta (tibial anterior),aquiles,main,,Pared de apoyo,3×20,226,"De espaldas a la pared, talones un paso adelante, sube las puntas hacia las espinillas lo más alto que puedas y baja lento. Es el antagonista del gemelo: te da control de la caída del pie al aterrizar, en vez de solo frenarla.",
Sentadilla con alcance al techo,activacion,main,,Sin equipo,,227,"Baja a sentadilla profunda y al subir estira los brazos al techo, terminando en puntas de pie. Conecta la extensión del tobillo con la apertura del hombro — y es lo que más rápido te sube la temperatura si la piscina está fría.",
Aperturas con banda,activacion,main,,Banda larga,,228,"Banda al frente, brazos estirados a la altura de los hombros, separa las manos juntando las escápulas. Resistencia baja y muchas repeticiones — activa el manguito posterior, que es el que protege el hombro en la fase de recobro.",
Isquios con contracción y suelta,recuperacion,main,,Sin equipo,90s,228,"Acostado, pierna al techo agarrada por detrás del muslo. Empuja el talón contra tus manos al 20% durante 5 segundos, suelta, y sube la pierna un poco más. Tres o cuatro ciclos. La pierna de abajo se queda apoyada todo el tiempo.",
Plancha en tensión de streamline,activacion,main,,Sin equipo,40s,229,"Plancha alta. Mete la pelvis, aprieta el abdomen al máximo y alinéate como una flecha, con la cabeza neutra mirando al piso y no al frente. Es el tono que evita que la cadera se hunda en crol y mariposa. Una sola vez, bien hecha.",
Caminata en puntas con peso,aquiles,main,,Mancuernas,3×30s,229,"Mancuernas pesadas, camina lento manteniéndote alto sobre el metatarso todo el recorrido, sin que el talón baje. Entrena rigidez del tobillo bajo carga — que es justo lo que le falta al ciclista que hunde el talón cuando aprieta.",
Excéntricas en escalón,recuperacion,variant,Elevación de talones excéntrica,Escalón,,229,"Media planta en el borde de un escalón. Sube con dos, baja con una dejando caer el talón por debajo del escalón, tres segundos. Si estás con el protocolo de aquiles, no sumes volumen aquí: cuenta estas series como parte de aquel.",
Remo en el marco de la puerta,hombro,main,,Marco de puerta,3×12 por brazo,231,"Agarra el marco con una mano, pies cerca, y déjate caer hacia atrás con el cuerpo derecho. Tracciona. El codo va hacia atrás pegado al cuerpo y el omóplato baja, no sube — si sientes el cuello, el trapecio superior te ganó de mano.",
Rodilla a la pared,recuperacion,main,,Pared,45s,231,"Pie a un palmo de la pared, toca la pared con la rodilla sin que el talón se despegue. Si llegas fácil, aleja el pie un centímetro y vuelve a probar. Es la medida más honesta de tu tobillo, y mejora con repeticiones, no con fuerza.",
Pasada de banda por encima,activacion,main,,Banda larga,,233,"Agarre bien ancho, brazos estirados, pasa la banda de adelante hacia atrás por encima de la cabeza. La banda cede donde el bastón no. Frena apenas se te abran las costillas o se te suban los hombros — hasta ahí llega tu rango de hoy.",
Rotación externa con banda,hombro,main,,Banda elástica,3×15-20 por brazo,233,"Banda atada al picaporte, de costado, codo pegado a las costillas con una toalla enrollada abajo. Gira el antebrazo hacia afuera. Poca resistencia y muchas repeticiones — si tienes que tirar con el cuerpo, la banda es demasiado dura.",
Elevación de talón sentado,aquiles,main,,Máquina,4×6-8,234,"Pesado, y 3 segundos para subir, 3 para bajar. El tempo no es un detalle estético: la tensión sostenida es lo que remodela el colágeno. Sentado y con rodilla flexionada, el que trabaja es el sóleo — el caballo de batalla del fondista.",
Rodillo: TFL,rodillas,main,,Foam roller,1×60-90s por lado,234,"El musculito arriba y adelante de la cadera, donde nace la banda iliotibial. No pases el rodillo por la banda iliotibial en el costado del muslo: es tendón, no músculo, y rodarla inflama más. Rueda aquí arriba, que es lo que la tensa.",
Deslizamiento neural,activacion,main,,Sin equipo,30s,235,"Acostado, rodilla al pecho y extiende la pierna hacia el techo mientras llevas la punta del pie hacia ti; suelta y repite, lento. No es un estiramiento: no busques tensión, buscas que el nervio deslice. Si tira fuerte, achica el rango.",
Extensión torácica en cuadrupedia,movilidad,main,,Sin equipo,60s,235,"De rodillas, antebrazos apoyados adelante y los glúteos hacia los talones. Hunde el pecho hacia el piso dejando que se abran las axilas. El movimiento es de la espalda alta: si se arquea la lumbar, acerca más los glúteos a los talones.",
Arco y dedos del pie,movilidad,main,,Sin equipo,45s,236,"Sentado sobre los talones con los dedos de los pies flexionados hacia adelante — si es mucho, apoya las manos y saca peso. Después abre y cierra los dedos. La fascia plantar se endurece después de correr y nadie la toca hasta que duele.",
Escaneo corporal,recuperacion,main,,Sin equipo,180s,236,"Boca arriba, piernas largas, palmas arriba. Recorre el cuerpo de los pies a la cabeza, parando en cada zona el tiempo de una respiración y soltando lo que encuentres apretado. Mandíbula y trapecios al final: casi siempre queda algo ahí.",
Sentadilla cosaca,recuperacion,main,,Sin equipo,60s,240,"Pies bien abiertos, baja el peso sobre una pierna dejando la otra estirada con la punta del pie arriba. Pecho alto y talón de la pierna que baja pegado al piso. Pasa de lado a lado despacio; no llegues hasta abajo si la espalda se redondea.",
"Flexión ""plus"" (protracción)",hombro,main,,Sin equipo,3×10-12,241,"Plancha alta —o de rodillas, o contra la pared si el hombro está sensible. Baja y sube normal, y arriba, con los codos ya estirados, empuja el piso un poco más hasta que la espalda alta se redondee. Ese centímetro extra es todo el ejercicio.",
Círculos de brazos completos,activacion,main,,Sin equipo,,246,"De pie, abdomen firme para no arquear la lumbar. Círculos amplios hacia atrás pasando el bíceps cerca de la oreja, y después hacia adelante. Lentos y controlados: esto lubrica el hombro en los mismos planos en los que va a trabajar, no es cardio.",
Cadera 90/90,recuperacion,main,,Sin equipo,60s,248,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Inclínate sobre la de adelante, vuelve, y pasa al otro lado levantando las rodillas y girando sin usar las manos. Esa transición activa es el ejercicio; la inclinación es solo la mitad.",
Flexión escapular,recuperacion,main,,Sin equipo,45s,248,"En plancha alta con los codos estirados todo el tiempo: deja caer el pecho juntando los omóplatos, y después empuja el piso separándolos al máximo. El movimiento es de tres o cuatro centímetros y es exactamente el músculo que le falta a un nadador.",
Plancha lateral,core,main,,De costado,,249,"Codo debajo del hombro, cuerpo en línea de cabeza a pies. Empuja la cadera de abajo hacia el techo en lugar de solo aguantar la posición — es la diferencia entre sostener y trabajar. Si tiembla, está bien; si la cadera se cae, corta el bloque antes.",
Sóleo en pared,movilidad,main,,Pared,45s,249,"Punta del pie contra la pared, talón en el piso, y lleva la rodilla hacia la pared manteniéndola flexionada. Rodilla doblada es sóleo, y el sóleo es el que se come la carga cuando corres. Si lo sientes en la vientre del gemelo, dobla más la rodilla.",
Bird dog dinámico,core-corredor,main,,Sin equipo,1×10 por lado,251,"Extiende brazo y pierna contrarios hasta la línea del tronco y alterna sin pausas largas. Espalda plana, como si tuvieras un vaso de agua en la lumbar. Es el patrón cruzado de la marcha: hombro contra glúteo opuesto, que es el que sostiene la zancada.",
Dominada escapular,hombro,main,,Barra,3×8-12,251,"Colgado con los brazos estirados. Sin flexionar los codos, baja y junta los omóplatos hasta subir dos o tres centímetros. Sostén 2 segundos y baja. Es exactamente el control que necesitas en el agarre de la brazada, cuando el hombro está más expuesto.",
Piernas en la pared,movilidad,main,,Pared,120s,253,"Glúteos cerca de la pared, piernas verticales apoyadas en ella, brazos al costado. Dos minutos enteros, y no estás estirando nada: estás bajando pulsaciones y sacándote el peso de las piernas. Si tira mucho de los isquios, aleja los glúteos de la pared.",
Apertura de pecho boca abajo,movilidad,main,,Sin equipo,45s,255,"Boca abajo, un brazo extendido en cruz a la altura del hombro, y rueda el cuerpo hacia ese lado apoyando el pie contrario. Busca el pecho, no el frente del hombro — si lo sientes dentro de la articulación, baja el brazo unos centímetros y vuelve a probar.",
Face pull con banda,hombro,main,,Banda elástica,3×15,256,"Banda anclada a la altura de la cara. Trae las manos hacia la frente llevando los codos hacia atrás y girando las manos hacia arriba, hasta terminar como haciendo bíceps. Es el ejercicio que más directo pega en rotadores externos y trapecio medio a la vez.",
Psoas con contracción y suelta,recuperacion,main,,Sin equipo,90s,256,"Media rodilla con la pelvis metida. Empuja la rodilla de atrás contra el piso al 20% durante 5 segundos, suelta, y avanza un poco. Repite tres o cuatro veces en el bloque. Ese contraer-y-soltar es lo que gana rango de verdad; sin él es un estiramiento más.",
"Bajada excéntrica, pierna recta",aquiles,main,,Escalón,3×15 por lado,257,"En el escalón, sube con las dos piernas, saca la pierna sana y baja solo con la lesionada en 4-5 segundos, dejando el talón caer por debajo del escalón. Vuelve a apoyar la sana para subir. La bajada es todo el ejercicio; nunca subas con la pierna lesionada.",
Rotación de cuello para respirar,activacion,main,,Sin equipo,30s,259,"Gira la cabeza como si respiraras al costado, despacio, y sostén mirando atrás. El mentón se queda bajo, cerca del hombro. Un cuello rígido después de un día de escritorio es por qué la cabeza se levanta en vez de rotar — y levantar la cabeza hunde la cadera.",
