athlete_id,source,signup_date,churn_date,status,transcript_coverage,tenure_days,first_msg,last_msg,presale_days,coach_msgs,athlete_msgs,athlete_share,weeks_paid,weeks_coach_wrote,weeks_athlete_wrote,weeks_coach_no_reply,weeks_coach_silent,athlete_reply_week_rate,athlete_msgs_per_week,max_silent_streak_weeks,trailing_silent_weeks,days_end_to_last_athlete_msg,median_reply_hours,p75_reply_hours,athlete_msgs_first4w,athlete_msgs_last4w,athlete_initiated_threads,churn_announced,athlete_msgs_last45d,msgs_after_churn,athlete_msgs_after_churn
Ac805c1df,TP Coach Match,2024-11-07,,active,full,674,2024-11-06,2026-09-07,1,938,786,0.456,97,94,87,7,3,0.926,7.6,1,1,12,0.0,0.4,88,36,19,,,,
Ad036f490,TP Coach Match,2024-11-14,,active,full,667,2024-11-13,2026-09-07,1,1286,947,0.424,96,96,95,1,0,0.99,9.62,1,0,5,0.0,0.1,61,32,10,,,,
A28d455d6,TP Coach Match,2024-11-21,2025-05-11,churned,full,171,2024-08-20,2025-04-16,93,268,203,0.431,25,15,15,0,10,1.0,3.08,0,3,25,0.0,0.9,7,2,17,0,4,0,0
A3d3cd954,TP Coach Match,2024-12-23,,active,full,628,2024-12-18,2026-09-07,5,270,118,0.304,90,71,37,34,19,0.521,1.11,7,7,54,0.4,2.9,16,0,11,,,,
Abe3cd49e,TP Coach Match,2024-12-23,2026-02-23,churned,full,427,2024-12-17,2026-08-10,6,635,283,0.308,62,60,52,9,2,0.867,4.31,2,1,7,0.2,1.3,23,7,37,1,19,1,1
Ae33df90a,Private - Ads,2024-12-23,2025-05-23,churned,full,151,2024-12-02,2025-05-26,21,472,430,0.477,22,22,22,0,0,1.0,15.73,0,0,4,0.0,0.3,83,62,23,1,93,0,0
Aacee1187,TP Coach Match,2025-01-02,2026-07-30,churned,full,574,2024-07-31,2026-07-31,155,1204,1236,0.507,83,83,79,4,0,0.952,14.4,1,0,0,0.0,0.2,176,26,25,1,47,0,0
Aa2b2d91c,TP Coach Match,2025-01-06,2025-11-30,churned,full,328,2025-01-03,2025-12-01,3,313,158,0.335,47,42,41,1,5,0.976,3.21,1,1,13,0.3,1.2,35,9,3,0,9,0,0
A6b941785,TP Coach Match,2025-01-08,2026-07-07,churned,full,545,2024-05-31,2026-08-11,222,1176,2391,0.67,79,72,69,3,7,0.958,26.05,1,2,11,0.0,0.1,90,75,43,1,176,1,1
A77d82fae,TP Coach Match,2025-01-16,2025-08-16,churned,full,212,2025-01-13,2026-07-30,3,250,164,0.396,31,28,28,0,3,1.0,4.74,0,3,22,0.1,0.6,49,6,8,0,11,2,1
A1196f3c7,TP Coach Match,2025-01-19,2025-10-19,churned,email,273,2025-01-07,2025-09-09,12,198,94,0.322,40,24,22,2,16,0.917,2.1,1,5,40,0.0,8.5,23,0,24,1,3,0,0
Ad4d94ea9,TP Coach Match,2025-01-29,,active,full,591,2025-01-21,2026-09-09,8,1832,2138,0.539,85,84,84,0,1,1.0,24.56,0,0,3,0.1,0.7,194,61,106,,,,
A5d218979,Private - Referral,2025-01-20,2025-03-20,churned,full,59,2025-01-08,2026-08-16,12,259,248,0.489,9,9,9,0,0,1.0,24.56,0,0,3,0.0,0.2,133,64,22,1,164,1,1
Acd571435,TP Coach Match,2024-09-05,2025-05-05,churned,full,242,2024-09-04,2025-11-17,1,576,525,0.477,36,33,30,3,3,0.909,13.19,2,1,3,0.0,0.3,95,12,32,1,24,59,27
A759c1ad4,Private - Referral,2025-02-10,,active,full,579,2025-12-22,2026-09-07,-315,42,37,0.468,83,13,9,5,70,0.692,0.45,2,2,19,0.1,7.0,0,8,3,,,,
Af024602c,TP Coach Match,2025-02-19,2025-07-20,churned,full,151,2025-02-17,2025-06-30,2,101,60,0.373,22,16,9,7,6,0.562,2.45,5,11,81,0.0,0.9,43,0,5,0,0,0,0
Acc52ffe4,Private - Referral,2025-02-24,2025-12-24,churned,full,303,2025-01-29,2026-08-02,26,623,597,0.489,44,44,44,0,0,1.0,13.14,0,0,1,0.1,0.3,68,64,23,1,140,1,1
Aac7a6076,TP Coach Match,2026-02-11,2026-06-11,churned,full,120,2025-03-13,2026-07-31,335,664,1133,0.63,18,18,17,1,0,0.944,21.28,1,0,1,0.0,0.2,234,35,46,1,66,1,1
Ab0f35a6e,TP Coach Match,2025-04-07,2025-05-08,churned,full,31,2025-04-01,2025-05-08,6,57,27,0.321,5,3,3,0,2,1.0,3.4,0,0,0,0.2,1.2,,,3,1,27,0,0
A77aac54c,TP Coach Match,2025-04-29,2025-11-29,churned,partial,214,2025-04-07,2026-07-31,22,28,26,0.481,31,0,0,0,31,,0.0,0,31,236,0.0,0.4,0,0,4,0,0,53,25
Ae6ab8164,TP Coach Match,2025-04-22,2025-04-22,churned,full,0,2025-04-14,2025-05-07,8,86,88,0.506,1,1,1,0,0,1.0,9.0,0,0,0,0.0,0.2,,,8,0,52,10,4
A9b1757f9,TP Coach Match,2025-05-01,2025-06-01,churned,full,31,2025-04-10,2025-06-03,21,184,173,0.485,5,5,5,0,0,1.0,31.2,0,0,6,0.0,0.4,,,13,1,166,0,0
A63ad2c88,TP Coach Match,2025-05-05,2025-06-05,churned,full,31,2025-04-01,2025-06-16,34,158,130,0.451,5,5,5,0,0,1.0,18.4,0,0,3,0.0,0.2,,,7,1,109,5,1
A7d01b2ab,TP Coach Match,2025-05-01,2026-01-01,churned,full,245,2025-01-07,2026-06-30,114,438,359,0.45,36,34,34,0,2,1.0,9.31,0,2,17,0.0,0.4,66,19,13,1,28,14,7
Afc284ab9,TP Coach Match,2025-05-06,2025-09-06,churned,full,123,2025-04-28,2026-08-02,8,125,57,0.313,18,18,7,11,0,0.389,2.83,7,7,54,0.1,1.4,39,0,6,0,0,1,1
A315679f6,TP Coach Match,2025-05-08,2025-07-07,churned,full,60,2025-04-29,2025-07-07,9,155,127,0.45,10,10,10,0,0,1.0,9.4,0,0,0,0.0,0.0,61,22,5,0,63,0,0
A7e7dc155,TP Coach Match,2025-05-12,2026-09-12,churned,full,488,2025-05-06,2026-08-20,6,243,128,0.345,70,67,30,37,3,0.448,1.59,18,3,23,2.0,25.7,12,2,20,0,3,0,0
A705d783f,Private - Referral,2025-05-12,2026-06-12,churned,full,396,2025-05-08,2026-06-11,4,1150,1140,0.498,57,55,53,2,2,0.964,19.95,1,0,2,0.0,0.4,164,29,58,1,45,0,0
A0e183716,TP Coach Match,2025-05-21,,active,full,479,2025-05-19,2026-09-07,2,547,435,0.443,69,69,66,3,0,0.957,6.2,1,0,5,0.2,2.4,51,12,18,,,,
Ab5ce3bfd,TP Coach Match,2025-05-26,2025-06-26,churned,full,31,2025-05-23,2025-06-23,3,209,199,0.488,5,5,5,0,0,1.0,34.0,0,0,3,0.0,0.0,,,7,1,199,0,0
A31cd0d4f,TP Coach Match,2025-05-29,2025-09-29,churned,full,123,2025-05-28,2025-09-15,1,108,56,0.341,19,17,14,3,2,0.824,2.84,1,3,20,0.1,5.7,33,2,8,0,8,0,0
Aee82f2d7,Private - Website,2025-05-30,2025-12-14,churned,full,198,2025-05-18,2025-12-08,12,207,172,0.454,29,26,23,3,3,0.885,5.55,1,0,6,0.0,1.0,57,11,15,1,15,0,0
Afc2fdb90,TP Coach Match,2025-06-03,,active,full,466,2025-05-26,2026-09-07,8,323,298,0.48,67,67,49,18,0,0.731,3.81,4,1,12,0.2,3.1,32,8,20,,,,
A0a8709b4,TP Coach Match,2025-06-02,2025-10-02,churned,full,122,2025-06-02,2025-09-24,0,337,327,0.492,18,17,17,0,1,1.0,18.17,0,1,8,0.0,0.2,177,16,13,1,62,0,0
Affecc7e0,Private - Website,2025-07-27,2026-08-27,churned,full,396,2025-07-26,2026-08-25,1,379,361,0.488,58,54,51,4,4,0.944,5.76,2,0,2,0.1,1.1,102,12,30,1,24,0,0
A377e1957,TP Coach Match,2025-06-13,2026-04-13,churned,full,304,2025-06-09,2026-08-09,4,383,259,0.403,45,43,43,0,2,1.0,5.73,0,1,3,0.3,1.1,30,7,15,1,32,1,1
A6df6a90a,TP Coach Match,2025-07-01,2026-06-01,churned,full,335,2025-06-27,2026-06-09,4,735,474,0.392,49,48,48,0,1,1.0,8.98,0,1,7,0.0,0.3,72,19,19,1,31,7,4
A7bee0639,TP Coach Match,2025-07-14,2025-09-14,churned,full,62,2025-04-01,2025-09-11,104,152,106,0.411,9,9,9,0,0,1.0,10.44,0,0,3,0.1,2.0,49,41,12,1,55,0,0
A6bc48540,TP Coach Match,2025-07-13,2025-10-13,churned,full,92,2025-05-02,2025-09-24,72,195,180,0.48,15,12,11,1,3,0.917,10.27,1,3,19,0.1,0.9,73,11,9,1,25,0,0
Aa24f7f04,Private - Referral,2025-09-01,,active,full,376,2025-09-01,2026-09-07,0,390,166,0.299,54,54,52,2,0,0.963,3.07,1,0,5,0.1,0.6,21,12,9,,,,
Aea4bb192,TP Coach Match,2025-08-01,2026-04-01,churned,full,243,2025-08-01,2026-03-10,0,893,639,0.417,36,33,33,0,3,1.0,17.75,0,3,22,0.0,0.1,115,21,33,1,117,0,0
A143186dc,TP Coach Match,2025-08-13,2026-04-09,churned,full,239,2024-11-13,2026-03-16,273,189,104,0.355,35,15,15,0,20,1.0,2.6,0,3,24,0.0,0.4,34,3,9,0,7,0,0
Ac341dcd1,TP Coach Match,2025-08-19,2026-02-19,churned,full,184,2025-08-18,2026-03-23,1,401,248,0.382,27,27,26,1,0,0.963,7.37,1,0,2,0.1,1.8,55,18,24,0,43,68,33
A0e683769,Private - Referral,2025-09-06,2026-09-06,churned,full,365,2025-09-02,2026-09-09,4,570,441,0.436,53,49,49,0,4,1.0,8.15,0,3,27,0.2,1.5,55,4,27,1,16,0,0
Ab9254214,TP Coach Match,2025-09-25,2026-03-25,churned,full,181,2025-09-23,2026-08-05,2,236,115,0.328,27,24,21,3,3,0.875,3.74,2,1,4,0.2,5.1,53,7,20,1,15,5,2
Ad118ec29,Private - Referral,2025-09-22,2026-04-22,churned,full,212,2025-09-22,2026-04-17,0,158,77,0.328,31,28,16,12,3,0.571,2.48,3,1,5,0.6,8.4,41,1,10,0,2,0,0
A1219ec52,TP Coach Match,2025-10-04,,active,full,343,2025-09-23,2026-09-07,11,102,26,0.203,50,47,7,40,3,0.149,0.46,26,2,19,0.8,9.7,14,3,3,,,,
A42278b70,TP Coach Match,2025-09-26,2025-12-26,churned,full,91,2025-09-24,2025-12-22,2,111,40,0.265,14,14,8,6,0,0.571,1.79,3,3,25,0.2,1.2,23,3,3,0,8,0,0
A6026a316,TP Coach Match,2025-11-24,,active,full,292,2025-09-23,2026-09-07,62,224,146,0.395,42,42,29,13,0,0.69,3.48,5,4,33,0.0,1.5,48,0,4,,,,
A0601c670,TP Coach Match,2025-10-17,2026-04-17,churned,full,182,2025-10-15,2026-05-20,2,742,483,0.394,27,27,27,0,0,1.0,16.11,0,0,0,0.4,1.9,142,44,40,0,60,65,23
A4731fe85,TP Coach Match,2025-10-20,2026-01-20,churned,full,92,2024-11-18,2026-01-17,336,262,178,0.405,14,13,11,2,1,0.846,8.71,1,2,15,0.0,0.1,60,7,4,1,33,0,0
A5f937a9f,TP Coach Match,2025-10-24,2026-04-24,churned,full,182,2025-10-24,2026-03-28,0,149,138,0.481,27,8,9,0,19,1.125,5.11,0,4,27,0.0,0.1,77,0,7,1,10,0,0
A9e84ecb9,TP Coach Match,2025-11-15,2026-04-15,churned,full,151,2025-11-15,2026-03-24,0,138,78,0.361,23,20,19,1,3,0.95,3.39,1,3,22,0.3,3.9,26,4,7,0,14,0,0
A3033ff59,Private - Website,2025-11-17,2026-02-17,churned,email,92,2025-12-07,2025-12-15,-20,14,7,0.333,14,3,3,0,11,1.0,0.5,0,9,64,0.3,2.3,6,0,0,0,0,0,0
Ae4413f27,TP Coach Match,2025-11-29,,active,full,287,2025-11-24,2026-09-08,5,525,611,0.538,42,40,40,0,2,1.0,13.98,0,0,4,0.1,1.4,107,87,26,,,,
A4368962f,TP Coach Match,2025-11-25,2026-07-25,churned,full,242,2025-11-19,2026-07-13,6,375,172,0.314,35,34,31,3,1,0.912,4.66,1,1,12,0.1,0.8,43,6,16,0,12,0,0
A509c2587,Private - Referral,2025-11-25,2026-03-25,churned,full,120,2025-11-07,2026-03-02,18,177,174,0.496,18,15,12,3,3,0.8,7.28,3,6,44,0.0,0.6,76,0,19,0,3,0,0
A48233859,TP Coach Match,2025-12-04,,active,full,282,2025-12-03,2026-09-07,1,460,269,0.369,41,41,39,2,0,0.951,6.49,2,0,5,1.7,8.9,71,9,44,,,,
A9bdecdb4,TP Coach Match,2025-11-30,2026-01-30,churned,full,61,2025-11-17,2026-01-25,13,72,33,0.314,10,9,9,0,1,1.0,2.5,0,1,5,0.3,15.4,10,7,6,1,17,0,0
Af50a06eb,TP Coach Match,2026-01-07,2026-09-07,churned,full,243,2026-01-05,2026-09-07,2,309,180,0.368,36,36,35,1,0,0.972,4.72,1,1,5,0.1,2.2,49,12,16,1,18,0,0
A7d51f372,TP Coach Match,2026-01-06,2026-03-03,churned,full,56,2026-01-05,2026-02-27,1,80,63,0.441,9,8,6,2,1,0.75,5.67,1,2,15,0.1,3.2,56,7,1,0,33,0,0
A8f92571e,TP Coach Match,2026-01-06,2026-05-06,churned,full,120,2026-01-05,2026-06-22,1,427,378,0.47,18,18,18,0,0,1.0,18.28,0,0,1,0.0,0.0,154,17,15,1,60,92,36
A7877e4ca,TP Coach Match,2026-01-06,2026-07-06,churned,full,181,2026-01-06,2026-06-08,0,181,193,0.516,27,22,20,3,5,0.909,7.15,2,4,28,0.1,0.6,97,0,14,1,8,0,0
A92502fe6,TP Coach Match,2026-01-15,2026-09-15,churned,full,243,2026-01-15,2026-09-07,0,276,291,0.513,36,35,17,18,1,0.486,8.08,6,1,8,0.0,0.1,162,1,17,0,1,0,0
A0ac928fe,TP Coach Match,2026-01-15,2026-08-15,churned,full,212,2026-01-14,2026-08-03,1,86,60,0.411,31,16,7,9,15,0.438,1.94,4,2,19,0.0,0.2,45,2,5,0,3,0,0
A41664142,TP Coach Match,2026-02-01,,active,full,223,2026-01-12,2026-09-07,20,242,298,0.552,33,33,24,9,0,0.727,7.3,2,0,5,1.1,23.3,62,29,33,,,,
Add8dd9c9,TP Coach Match,2026-02-01,2026-09-01,churned,full,212,2026-01-31,2026-08-24,1,171,73,0.299,32,31,11,20,1,0.355,1.88,18,19,132,0.1,1.6,38,0,10,0,0,0,0
Af298ee4e,TP Coach Match,2026-02-02,,active,full,222,2025-11-24,2026-09-07,70,291,298,0.506,32,32,31,1,0,0.969,8.19,1,0,5,0.0,0.1,96,25,2,,,,
Af6117c15,TP Coach Match,2026-02-11,,active,full,213,2025-06-03,2026-09-07,253,433,315,0.421,31,31,19,12,0,0.613,2.26,2,1,6,0.1,0.7,15,14,16,,,,
Ac0d7d870,TP Coach Match,2026-02-09,2026-06-09,churned,full,120,2026-02-05,2026-05-27,4,158,124,0.44,18,16,16,0,2,1.0,6.56,0,2,13,1.0,6.7,49,10,18,0,24,0,0
A59eaf2ba,TP Coach Match,2026-02-28,2026-03-28,churned,full,28,2026-02-16,2026-03-25,12,103,94,0.477,5,5,4,1,0,0.8,9.4,1,0,3,0.0,0.1,,,5,0,94,0,0
A73027f5d,Private - Referral,2026-02-23,2026-05-23,churned,full,89,2026-02-23,2026-05-12,0,129,85,0.397,13,12,11,1,1,0.917,6.54,1,1,11,0.1,0.9,54,8,4,1,28,0,0
A2bfc89b3,TP Coach Match,2026-02-28,,active,full,196,2026-02-25,2026-09-07,3,489,488,0.499,29,29,29,0,0,1.0,15.66,0,0,5,0.0,0.1,135,73,12,,,,
Ac6dbd66b,Private,2026-04-04,,active,full,161,2026-04-01,2026-09-07,3,114,62,0.352,24,22,22,0,2,1.0,2.33,0,0,5,1.7,8.4,17,9,10,,,,
A0a412030,TP Coach Match,2026-04-14,,active,full,151,2026-04-13,2026-09-07,1,98,34,0.258,22,22,18,4,0,0.818,1.55,2,0,5,6.0,22.5,13,6,11,,,,
Aa5b91314,TP Coach Match,2026-04-21,,active,full,144,2025-12-15,2026-09-07,127,228,168,0.424,21,21,21,0,0,1.0,5.71,0,0,5,0.1,2.3,48,24,13,,,,
Ae28cb6a1,TP Coach Match,2026-04-21,,active,full,144,2026-04-21,2026-09-07,0,161,85,0.346,21,21,19,2,0,0.905,4.05,1,0,5,0.4,1.5,30,14,3,,,,
A473506a7,TP Coach Match,2026-04-27,,active,full,138,2026-04-20,2026-09-08,7,365,333,0.477,20,20,20,0,0,1.0,13.65,0,0,4,0.0,1.0,120,66,23,,,,
A6d04ee79,TP Coach Match,2026-05-03,,active,full,132,2026-05-03,2026-09-07,0,108,116,0.518,20,18,13,7,2,0.722,5.8,2,1,12,0.0,1.5,21,12,4,,,,
A2fbbc23e,TP Coach Match,2026-05-26,,active,full,109,2026-05-25,2026-09-07,1,67,59,0.468,16,16,9,7,0,0.562,3.69,2,2,18,6.0,14.6,32,8,7,,,,
Ad84b8588,TP Coach Match,2026-06-15,,active,full,89,2026-05-19,2026-09-09,27,210,107,0.338,13,13,13,0,0,1.0,5.85,0,0,3,0.1,0.6,31,26,7,,,,
Ada0283c8,TP Coach Match,2026-06-23,,active,full,81,2026-06-22,2026-09-07,1,221,196,0.47,12,12,12,0,0,1.0,15.92,0,0,5,0.1,0.4,96,58,3,,,,
A8d82cd62,TP Coach Match,2026-06-23,,active,full,81,2026-06-22,2026-09-07,1,80,42,0.344,12,12,12,0,0,1.0,3.08,0,0,5,0.8,2.3,21,13,6,,,,
Ac73a3a88,TP Coach Match,2026-07-13,,active,full,61,2026-07-13,2026-09-07,0,122,156,0.561,9,9,7,2,0,0.778,17.33,1,0,5,1.2,5.3,50,106,8,,,,
A8925e90c,TP Coach Match,2026-07-27,,active,full,47,2026-07-27,2026-09-07,0,92,46,0.333,7,7,7,0,0,1.0,6.57,0,0,5,0.1,1.5,,,2,,,,
Aeb01d127,TP Coach Match,2026-08-05,,active,full,38,2026-08-03,2026-09-12,2,65,50,0.435,6,6,6,0,0,1.0,5.83,0,0,0,0.0,6.1,,,7,,,,
A45c25508,TP Coach Match,2026-08-20,,active,full,23,2026-08-20,2026-09-09,0,99,68,0.407,4,4,4,0,0,1.0,17.0,0,0,3,0.0,0.1,,,4,,,,
