plan_id,plan_name,language,sport,distance,difficulty,weeks,price,is_published,units_all_time,gross_all_time,earnings_all_time,first_sale,last_sale,in_inventory
415118,Plan 16 Semanas: Polarizado 80/20 - Mejora tu FTP 🚀,Spanish,Cycling,FTP,Advanced,16,59.99,TRUE,7,344.77,238.66,2024-05-28,2025-06-23,TRUE
480128,Plan 24 Semanas: FULL / Larga Distancia + Gym 🏋️ (Avanzado),Spanish,Triathlon,Full,Advanced,24,79.99,TRUE,4,333.58,233.50,2024-11-10,2026-04-11,TRUE
480121,Plan 20 Semanas: Triatlón HALF / Media Distancia + Gym 🏋️ (Avanzado),Spanish,Triathlon,Half,Intermediate,20,69.99,TRUE,5,321.97,225.37,2024-11-05,2026-06-22,TRUE
413817,"8 Week Polarized 80/20 - Improve FTP, VO2Max, Speed and Endurance",English,Cycling,FTP,Beginner,8,39.99,TRUE,10,332.26,225.31,2023-08-01,2026-05-19,TRUE
493737,"[2026 Weight loss] 12 Week plan - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose weight!",English,Cycling,Weight Loss,Beginner,12,49.99,TRUE,7,323.07,221.76,2024-12-31,2025-09-29,TRUE
413662,Plan 8 Semanas: Triatlón Olímpico Express 🏊🚴🏃 (Polarizado 80/20),Spanish,Triathlon,Olympic,Intermediate,8,24.99,TRUE,8,280.17,193.13,2023-07-13,2025-08-14,TRUE
561949,13 Week HYROX Run Peak: Advanced (Elite Pace),English,Running,HYROX,Advanced,13,49.99,TRUE,5,264.82,179.16,2025-08-30,2026-06-04,TRUE
612222,16 Week HYROX Full Prep: Intermediate (HYBRID - 🏃 Running + 🏋️‍♂️ Strength plan),English,Running,HYROX,Intermediate,16,59.99,TRUE,4,254.96,167.96,2026-04-14,2026-07-23,TRUE
415102,"16 Week Polarized 80/20 - Improve FTP, VO2Max, Speed and Endurance",English,Cycling,FTP,Advanced,16,59.99,TRUE,5,248.64,167.82,2023-12-02,2024-12-22,TRUE
434678,Plan 12 Semanas: Maratón Base - Frecuencia Cardíaca 💓 (Vol. <90km),Spanish,Running,42 km,Beginner,12,49.99,TRUE,7,240.50,165.98,2024-07-21,2026-05-29,TRUE
493932,Plan 14 Semanas: 21 km - Media Maratón 🏃 + Gym 🏋️ (Principiante),Spanish,Running,21 km,Beginner,14,59.99,TRUE,4,228.41,158.47,2025-01-08,2026-05-04,TRUE
408737,4 Week Swim Peak: 1500m Speed (Advanced),English,Swimming,1500m,Advanced,4,24.99,TRUE,8,214.93,149.77,2024-03-21,2026-06-23,TRUE
480125,Plan 19 Semanas: Triatlón HALF / Media Distancia + Gym 🏋️ (Intermedio),Spanish,Triathlon,Half,Intermediate,19,69.99,TRUE,3,214.86,148.38,2024-12-13,2026-05-18,TRUE
493947,"[2026 Weight loss] 16 week plan - Run 🏃 & Lift 🏋️ - Get leaner, stronger and faster!",English,Running,10 km,Beginner,16,59.99,TRUE,4,207.59,145.31,2024-09-16,2026-07-05,TRUE
392378,Plan 8 Semanas: Natación Velocidad 🏊 - Sistema Polarizado (Principiante),Spanish,Swimming,Speed,Beginner,8,48.00,TRUE,6,193.66,134.71,2024-03-05,2026-04-07,TRUE
415129,Plan 8 Semanas: Triatlón Sprint Express 🏊🚴🏃 (Polarizado 80/20),Spanish,Triathlon,Short - Sprint,Beginner,8,40.00,TRUE,5,190.96,133.66,2024-01-18,2026-04-20,TRUE
493733,"[2026 Weight loss] 8 Week plan - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose weight!",English,Cycling,FTP,Beginner,8,39.99,TRUE,5,193.64,131.57,2024-08-29,2025-07-28,TRUE
415245,Plan 12 Semanas: 21 km / Media Maratón Peak 🏃 (Avanzado Polarizado a piramidal),Spanish,Running,21 km,Advanced,12,49.99,TRUE,5,186.04,126.95,2023-09-28,2025-08-26,TRUE
437755,12 Week 5 km Build: Run 🏃 (Extended Speed),English,Running,5 km,Intermediate,12,49.99,TRUE,4,179.59,125.67,2024-12-01,2026-03-06,TRUE
429688,Plan 13 Semanas: HALF / Media Distancia Express 🏊🚴🏃 (Avanzado),Spanish,Triathlon,Half,Advanced,13,48.00,TRUE,4,176.18,123.28,2023-10-19,2026-06-28,TRUE
492331,Plan 14 Semanas: 21 km - Media Maratón 🏃 + Gym 🏋️ (Intermedios),Spanish,Running,21 km,Intermediate,14,59.99,TRUE,3,175.98,123.18,2025-02-25,2026-04-15,TRUE
393663,Plan 4 Semanas: Natación 1900m 🏊 - Domina la Distancia (Intermedio),Spanish,Swimming,1900m,Intermediate,4,24.99,TRUE,8,174.33,122.01,2023-05-16,2025-02-14,TRUE
437635,12 Week Half Marathon 21 km Peak: Run 🏃 (Advanced Polarized),English,Running,21 km,Advanced,12,49.99,TRUE,4,168.30,114.78,2024-03-18,2025-01-23,TRUE
492218,16 Week FTP Builder: Ride 🚴 + Lift 🏋️ (Hybrid Polarized),English,Cycling,FTP,Advanced,16,59.99,TRUE,3,167.46,113.94,2024-09-12,2025-10-26,TRUE
562095,Plan 13 Semanas: Preparación HYROX Run 🏃 (Avanzado),Spanish,Running,HYROX,Advanced,13,49.99,TRUE,3,163.99,113.39,2025-08-05,2026-06-05,TRUE
546064,Plan 16 Semanas: Natación 🏊 + Gym 🏋️ - Potencia y Velocidad (Intermedio),Spanish,Swimming,All-round,Intermediate,16,59.99,TRUE,3,158.79,111.15,2025-08-24,2026-06-14,TRUE
479415,Plan 16 Semanas: Polarizado 80/20 - Ciclismo 🚴 + Gimnasio 🏋️ - Mejora tu FTP 🚀,Spanish,Cycling,FTP,Advanced,16,59.99,TRUE,3,157.58,110.30,2024-05-30,2025-05-13,TRUE
561409,13 Week HYROX Run Prep: Beginner (Dominate the Run),English,Running,HYROX,Beginner,13,49.99,TRUE,3,166.03,103.58,2025-09-07,2026-01-25,TRUE
408733,[Reusable] Swim longer - Endurance for beginners - Syncs with Garmin - Unlimited support,,,,,,,,5,151.77,103.01,2023-12-18,2025-02-09,FALSE
436153,Maratona - 18 semanas - Até 90 km por semana - Ritmo / Potência / Frequência cardíaca,Portuguese,Running,42 km,Beginner,18,36.00,TRUE,4,147.36,101.46,2023-12-18,2024-11-11,TRUE
479876,Fortalecimiento - 8 semanas - Protocolo 3 veces por semana - Fuerza máxima,Spanish,Strength,Strength,Beginner,8,40.00,TRUE,4,142.39,97.99,2025-03-17,2026-08-06,TRUE
522788,Maratón De Santiago 2025 - 18 semanas - Entre 90 y 110 km /sem - Empezar hasta 13 de enero,,,,,,,,2,136.80,95.76,2025-01-13,2025-01-29,FALSE
493085,Plan 12 Semanas: 10 km Prep 🏃 + Gym 🏋️ (Avanzado),Spanish,Running,10 km,Advanced,12,49.99,TRUE,3,138.13,95.48,2024-08-04,2025-07-12,TRUE
480017,Plan 12 Semanas: Base Triatlón 🏊🚴🏃 + Gym 🏋️ - Mantenimiento mayor volumen,Spanish,Triathlon,Base,Intermediate,12,49.99,TRUE,3,140.71,95.47,2025-04-18,2026-03-19,TRUE
493045,Plan 12 Semanas: 10 km Prep 🏃 + Gym 🏋️ (Principiantes),Spanish,Running,10 km,Beginner,12,49.99,TRUE,3,138.39,95.47,2025-01-15,2026-07-28,TRUE
393676,Plan 8 Semanas: Tus primeros 3000m - Sistema polarizado 80-20,Spanish,Swimming,3000m,Intermediate,8,39.99,TRUE,4,135.97,95.17,2024-05-21,2026-01-31,TRUE
603286,8 Week Weight Loss SMART Mix: Ride 🚴 Run 🏃 + Home Strength 🏠 (No Gym),English,Duathlon,Weight Loss,Beginner,8,44.99,TRUE,3,140.48,94.47,2026-02-21,2026-06-27,TRUE
391452,Plan 8 Semanas: 5 km peak 🏃 (Avanzados),Spanish,Running,5 km,Advanced,8,40.00,TRUE,8,131.84,90.92,2023-03-04,2024-04-12,TRUE
567305,Triathlon: Distância Completa | 21 Semanas | Iniciante | Cruzar a Linha,Portuguese,Triathlon,Full,Beginner,21,42.00,FALSE,3,128.52,88.20,2025-11-16,2026-06-10,TRUE
493510,Plan 16 Semanas: Gran Fondo Peak - Ciclismo 🚴 + Gimnasio 🏋️,Spanish,Cycling,FTP,Advanced,16,59.99,TRUE,2,123.90,85.12,2025-02-03,2025-03-11,TRUE
546026,16 Week Swim Performance: Speed & Endurance (Advanced 5x),English,Swimming,All-round,Advanced,16,59.99,TRUE,2,125.62,83.98,2026-02-08,2026-06-05,TRUE
408611,Ultra: 3800m a 5000m para avanzados - Polarizado - Sincroniza con Garmin - Reutilizable,Spanish,Swimming,3800m,Advanced,8,39.99,TRUE,3,121.58,83.98,2024-12-13,2026-04-28,TRUE
493936,[2026 Weight loss] 18 week plan - Triathlon & Lift 🏋️ - Endurance + Strength,English,Triathlon,Half,Beginner,18,69.99,TRUE,2,118.79,83.15,2024-08-27,2024-12-27,TRUE
567744,Triathlon: Média Distância | 20 Semanas | Intermediário | Recorde Pessoal,Portuguese,Triathlon,Half,Intermediate,19,38.00,TRUE,3,116.28,79.80,2025-10-21,2026-06-01,TRUE
437633,8 Week 5 km Peak: Run 🏃 (Advanced Speed),English,Running,5 km,Advanced,8,39.99,TRUE,3,112.00,78.40,2025-01-31,2025-05-12,TRUE
432952,18 Week Marathon Base: Heart Rate 💓 (Beginner Vol: <90km),English,Running,42 km,Beginner,18,59.99,TRUE,3,112.37,76.97,2023-11-14,2024-05-23,TRUE
401093,4 Week Swim Challenge: Reach 1500m Non-Stop (Beginner),English,Swimming,1500m,Beginner,4,24.99,TRUE,5,105.93,73.04,2023-07-17,2025-06-19,TRUE
434684,Plan 12 Semanas: Maratón Peak - Frecuencia Cardíaca 💓 (Vol. >110km),Spanish,Running,42 km,Advanced,12,49.99,TRUE,3,105.58,72.22,2023-12-11,2025-06-06,TRUE
438912,Natação: 1500m (Olímpico) | 16 Semanas | Iniciante | Base & Técnica | Compatível Garmin,Portuguese,Swimming,1500m,Beginner,16,32.00,TRUE,2,103.84,70.00,2025-01-13,2025-08-11,TRUE
562094,Plan 13 Semanas: Preparación HYROX Run 🏃 (Intermedio),Spanish,Running,HYROX,Intermediate,13,49.99,TRUE,2,99.98,69.98,2025-12-24,2026-07-06,TRUE
602981,8 Week High-Volume Weight Loss: 5 Rides 🚴 + 2 Gym Lifts 🏋️ (Body recomposition),English,Cycling,Weight Loss,Advanced,8,49.99,TRUE,2,117.48,69.98,2026-01-09,2026-03-22,TRUE
603403,8 Week Triathlon Weight Loss: Swim/Bike/Run + Full Gym Lifting 🏋️,English,Triathlon,Weight Loss,Beginner,8,49.99,TRUE,2,99.98,69.98,2026-03-29,2026-05-25,TRUE
434685,Plan 18 Semanas: Maratón Peak - Frecuencia Cardíaca 💓 (Vol. >110km),Spanish,Running,42 km,Advanced,18,59.99,TRUE,2,99.79,69.85,2024-04-28,2025-01-01,TRUE
480020,Plan 17 Semanas: Triatlón Olímpico 🏊🚴🏃 (Principiantes),Spanish,Triathlon,Olympic,Intermediate,17,59.99,TRUE,2,102.33,68.87,2025-12-03,2026-06-16,TRUE
480286,Plan 12 Semanas: Duatlón Sprint 🏃🚴 + Gym 🏋️ (Principiante),Spanish,Duathlon,Dua Sprint,Beginner,12,49.99,TRUE,2,99.99,68.59,2025-08-27,2025-12-20,TRUE
493498,Plan 12 Semanas: Gran Fondo Build - Ciclismo 🚴 + Gimnasio 🏋️,Spanish,Cycling,FTP,Intermediate,12,49.99,TRUE,2,97.99,68.59,2025-05-05,2026-05-17,TRUE
439349,Tokyo Marathon 2026: 12 Week Beginner Prep (Start Dec 8),English,Running,42 km,Beginner,12,49.99,FALSE,2,99.96,67.20,2024-12-06,2024-12-11,TRUE
567303,Triathlon Olímpico | 16 Semanas | Iniciante | Base & Técnica,Portuguese,Triathlon,Olympic,Beginner,16,32.00,FALSE,3,96.00,67.20,2026-01-02,2026-07-23,TRUE
603230,8 Week Weight Loss FAT-MAX progression: 4 Runs 🏃 + 2 Lifts 🏋️ (Full Gym),English,Running,Weight Loss,Beginner,8,44.99,TRUE,2,95.87,62.98,2026-04-06,2026-07-20,TRUE
437638,16 Week Half Marathon Prep: Run 🏃 (Polarized 80/20),English,Running,21 km,Beginner,16,59.99,TRUE,2,88.99,62.29,2024-03-12,2025-08-08,TRUE
393672,3000m para intermedios a avanzados - Sincroniza con Garmin),,,,,,,,3,88.14,60.18,2023-07-05,2025-03-12,FALSE
493079,Plan 12 Semanas: 10 km Build 🏃 (Intermedio Polarizado 80/20),Spanish,Running,10 km,Intermediate,12,39.99,TRUE,2,84.79,58.23,2025-02-11,2026-01-05,TRUE
476495,Plan 12 Semanas: Maratón Base - Por Ritmo ⏱️ (Vol. <90km),Spanish,Running,42 km,Beginner,12,49.99,TRUE,2,82.99,58.09,2024-07-31,2025-08-14,TRUE
415216,8 Week Olympic Speed: Triathlon 🏊‍♂️🚴🏃 (Polarized 80/20),English,Triathlon,Olympic,Intermediate,9,39.99,TRUE,2,80.00,56.00,2025-04-22,2025-11-27,TRUE
368997,4 Week Swim Booster: Speed Focus (Beginner),English,Swimming,Speed,Beginner,4,24.99,TRUE,4,81.96,55.96,2023-01-30,2023-07-06,TRUE
522276,"[2026 Weight loss] 24 week plan - Run 🏃 & Lift 🏋️ - Get leaner, stronger and faster!",English,Running,21 km,Beginner,24,79.99,TRUE,1,75.60,50.40,2025-07-15,2025-07-15,TRUE
567304,Triathlon: Média Distância | 18 Semanas | Iniciante | Primeira Prova,Portuguese,Triathlon,Half,Beginner,18,36.00,FALSE,2,74.16,50.40,2026-03-18,2026-05-27,TRUE
391102,Plan 12 Semanas: 5 km base 🏃 (Intermedio Polarizado),Spanish,Running,5 km,Beginner,12,49.99,TRUE,2,71.92,49.13,2024-10-31,2025-11-01,TRUE
442189,Plan 19 Semanas: Triatlón HALF / Media Distancia 🏊🚴🏃 (Tu Primer Half),Spanish,Triathlon,Half,Beginner,19,69.99,TRUE,1,69.99,48.99,2026-06-22,2026-06-22,TRUE
395634,12 Week 5 km Power: Run with Stryd ⚡ (Extended),English,Running,5 km,Beginner,12,49.99,TRUE,2,67.66,46.88,2023-10-31,2026-03-06,TRUE
392377,Plan 4 Semanas: Natación Velocidad 🏊 - Mejora de Ritmos (Intermedio),Spanish,Swimming,Speed,Intermediate,4,24.99,TRUE,4,64.96,45.46,2023-02-20,2024-03-30,TRUE
433354,18 Week Marathon Build: Heart Rate 💓 (Intermediate Vol: 90-110km),English,Running,42 km,Intermediate,18,59.99,TRUE,1,71.28,45.36,2025-05-13,2025-05-13,TRUE
436155,Maratona - 18 semanas - Entre 90 e 110 km por semana - Ritmo / Potência / Frequência cardíaca,Portuguese,Running,42 km,Intermediate,18,36.00,TRUE,1,64.80,45.36,2025-01-16,2025-01-16,TRUE
443812,Ultra: Carrera de +42km a 100 millas - 18 semanas - Volumen semanal: entre 110 y 135 km,,,,,,,,1,67.39,45.36,2024-12-31,2024-12-31,FALSE
434683,Plan 18 Semanas: Maratón Build - Frecuencia Cardíaca 💓 (Vol. 90-110km),Spanish,Running,42 km,Intermediate,18,59.99,TRUE,1,66.56,44.80,2025-11-02,2025-11-02,TRUE
395435,8 Week 5 km Power: Run with Stryd ⚡ (Beginner),English,Running,5 km,Beginner,8,39.99,TRUE,3,69.43,44.77,2023-07-31,2026-05-15,TRUE
439407,🇬🇧 London Marathon 2026: Run 🏃 + Gym 💪 | 18 Wk Intermediate (90-110k),English,Running,42 km,Intermediate,18,59.99,FALSE,1,68.97,41.99,2026-01-22,2026-01-22,TRUE
480118,Plan 16 Semanas: Triatlón Olímpico + Gym 🏋️ (Intermedio),Spanish,Triathlon,Olympic,Intermediate,17,59.99,TRUE,1,62.39,41.99,2026-06-02,2026-06-02,TRUE
491764,"Plan para ganar masa muscular - 8 semanas, 4 veces por semana",Spanish,Strength,Strength,Beginner,8,40.00,TRUE,2,62.39,41.99,2024-09-22,2025-09-21,TRUE
493933,[Objetivo 2026] Plan 16 Semanas: Bajar de Peso - Triatlón 🏊🚴🏃 + Gym 🏋️,Spanish,Triathlon,Olympic,Beginner,16,59.99,TRUE,3,59.99,41.99,2025-05-26,2026-04-26,TRUE
546063,Plan 16 Semanas: Natación 🏊 + Gym 🏋️ - Potencia y Velocidad (Principiante),Spanish,Swimming,All-round,Beginner,16,59.99,TRUE,1,59.99,41.99,2026-01-05,2026-01-05,TRUE
611863,16 Semanas HYROX Full Prep: Intermedio (🏃 Running + 🏋️‍♂️ Fuerza Integrada),Spanish,Running,HYROX,Intermediate,16,59.99,TRUE,1,62.39,41.99,2026-02-13,2026-02-13,TRUE
612084,16 Semanas HYROX: Avanzados - 🏃 Running (Volumen y carga) + 🏋️‍♂️ Fuerza (Máxima + potencia),Spanish,Running,HYROX,Advanced,16,59.99,TRUE,1,62.39,41.99,2026-05-10,2026-05-10,TRUE
612231,8 Semanas HYROX Race Ready: Competición 🏁 (🏃 Running + 🏋️‍♂️ Estaciones),Spanish,Running,HYROX,Beginner,8,34.99,TRUE,1,62.39,41.99,2026-04-13,2026-04-13,TRUE
439403,🇬🇧 London Marathon 2026: Run 🏃 + Gym 💪 | 12 Wk Advanced (110-135k) (Start Feb 2),English,Running,42 km,Advanced,12,49.99,FALSE,2,59.98,41.98,2024-01-12,2024-01-20,TRUE
391113,Plan 12 Semanas: 10 km 🏃 (Intermedios),Spanish,Running,10 km,Intermediate,12,39.99,TRUE,3,59.77,41.27,2023-02-23,2024-04-20,TRUE
390919,Plan 8 Semanas: 5 km base 🏃 (Principiantes),Spanish,Running,5 km,Beginner,8,39.99,TRUE,2,58.49,40.94,2024-06-24,2025-07-10,TRUE
439406,🇬🇧 London Marathon 2026: Run 🏃 + Gym 💪 | 18 Wk Advanced (110-135k) ,English,Running,42 km,Advanced,18,59.99,FALSE,1,57.99,40.59,2024-09-09,2024-09-09,TRUE
480285,Plan 16 Semanas: Duatlón Clásico 🏃🚴 + Gym 🏋️ (Principiante),Spanish,Duathlon,Dua Classic,Beginner,16,59.99,TRUE,1,57.60,40.32,2025-06-05,2025-06-05,TRUE
391449,Plan 8 Semanas: 5 km build 🏃 (Intermedios),Spanish,Running,5 km,Intermediate,8,40.00,TRUE,3,56.97,39.87,2023-11-10,2024-10-12,TRUE
393660,Plan 4 Semanas: Natación 1500m 🏊 - Domina la Distancia (Intermedio),Spanish,Swimming,1500m,Intermediate,4,24.99,TRUE,3,58.83,39.59,2023-10-21,2024-08-04,TRUE
480276,Duatlón + fortalecimiento - Mantenimiento 12 semanas - Período base + Gimnasio,Spanish,Duathlon,Base,Beginner,12,49.99,TRUE,1,54.99,38.49,2024-08-03,2024-08-03,TRUE
437753,5k: Comece a Correr | 12 Semanas | Iniciante (Do Zero) | Sistema polarizado 80-20,Portuguese,Running,5 km,Beginner,12,24.00,TRUE,2,53.99,37.79,2024-09-07,2025-11-05,TRUE
493735,"[2026 Weight loss] 16 Week plan - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose weight!",English,Cycling,FTP,Intermediate,16,59.99,TRUE,1,53.99,37.79,2024-11-24,2024-11-24,TRUE
493719,16 Week Indoor Race Prep: Ride 🚴 + Lift 🏋️ (Zwift / Rouvy Ready),English,Cycling,FTP,Advanced,16,59.99,TRUE,1,51.99,36.39,2024-11-17,2024-11-17,TRUE
492333,Plan 14 Semanas: 21 km - Media Maratón 🏃 + Gym 🏋️ (Avanzados),Spanish,Running,21 km,Advanced,14,59.99,TRUE,1,50.40,35.28,2025-01-04,2025-01-04,TRUE
414883,"12 Week Polarized 80/20 - Improve FTP, VO2Max, Speed and Endurance",English,Cycling,FTP,Intermediate,12,49.99,TRUE,1,53.49,34.99,2026-05-09,2026-05-09,TRUE
441905,Plan 22 Semanas: Larga Distancia 🏊🚴🏃 (Tu Primer Full),Spanish,Triathlon,Full,Beginner,22,79.99,TRUE,1,51.99,34.99,2024-03-02,2024-03-02,TRUE
522766,Maratón Barcelona 2026: Plan 12 Semanas - Vol: 90-110km semanales - Inicio 22 Dic,Spanish,Running,42 km,Intermediate,12,49.99,FALSE,1,51.99,34.99,2025-12-15,2025-12-15,TRUE
606563,[Objetivo 2026] Plan para bajar de peso: Ciclismo 🚴 + Running 🏃 + Fuerza en Casa 🏋️🏠 ,Spanish,Duathlon,Weight Loss,Beginner,12,49.99,TRUE,1,49.99,34.99,2026-07-27,2026-07-27,TRUE
606566,[Objetivo 2026] Plan para bajar de peso: Ciclismo 🚴 + Running 🏃 + Fuerza en Gimnasio 🏋️,Spanish,Duathlon,Weight Loss,Beginner,12,49.99,TRUE,1,49.99,34.99,2026-01-29,2026-01-29,TRUE
439348,Tokyo Marathon 2026: 12 Week Intermediate - 90-110km Weekly - Start Dec 8,English,Running,42 km,Intermediate,12,49.99,FALSE,1,48.00,33.60,2025-11-13,2025-11-13,TRUE
474632,Maratón de Chicago 2025 - 12 semanas - Entre 110 y 135 km semanales - Empezar 21 de Julio 2025,,,,,,,,1,48.00,33.60,2025-09-02,2025-09-02,FALSE
480131,Plan 22 Semanas: FULL / Larga Distancia + Gym 🏋️ (Intermedio),Spanish,Triathlon,Full,Intermediate,22,79.99,TRUE,1,49.92,33.60,2025-12-01,2025-12-01,TRUE
492217,12 Week FTP Builder: Ride 🚴 + Lift 🏋️ (Hybrid Polarized),English,Cycling,FTP,Beginner,12,49.99,TRUE,1,48.00,33.60,2025-08-06,2025-08-06,TRUE
493502,Plan 12 Semanas Indoor: Potencia en Rodillo 🚴 + Gimnasio 🏋️ (Zwift Ready),Spanish,Cycling,FTP,Intermediate,12,49.99,TRUE,1,49.92,33.60,2025-06-26,2025-06-26,TRUE
546060,16 Week Swimmer's Body: Swim 🏊 + Dryland Strength 🏋️ (Beginner),English,Swimming,All-round,Beginner,16,59.99,TRUE,1,46.80,32.76,2025-09-21,2025-09-21,TRUE
546067,Plan 16 Semanas: Natación 🏊 + Gym 🏋️ - Potencia y Velocidad (Avanzado),Spanish,Swimming,All-round,Advanced,16,59.99,TRUE,1,46.80,32.76,2025-08-10,2025-08-10,TRUE
435944,Maratona - 12 semanas - Entre 110 e 135 km por semana - Ritmo / Potência / Frequência cardíaca,Portuguese,Running,42 km,Advanced,12,24.00,TRUE,2,46.90,31.92,2025-08-17,2026-04-19,TRUE
602972,8 Week Weight Loss - Watts/Kg Booster: 4 Rides 🚴 + 2 Lifts 🏋️ (Full Gym),English,Cycling,Weight Loss,Intermediate,8,44.99,TRUE,1,48.14,31.49,2026-02-17,2026-02-17,TRUE
603288,8 Week Weight Loss SMART Mix: Ride 🚴 Run 🏃 + Full Gym Lifting 🏋️,English,Duathlon,Weight Loss,Beginner,8,44.99,TRUE,1,44.99,31.49,2026-04-17,2026-04-17,TRUE
429677,Plan 13 Semanas: HALF / Media Distancia Express 🏊🚴🏃 (Intermedios),Spanish,Triathlon,Half,Intermediate,13,48.00,TRUE,1,44.93,30.24,2024-12-16,2024-12-16,TRUE
434030,12 Week Marathon Peak: Heart Rate 💓 (Advanced Vol: 110km+),English,Running,42 km,Advanced,12,49.99,TRUE,1,43.20,30.24,2025-09-15,2025-09-15,TRUE
439415,Maratón de Boston 2025 - 12 semanas - Entre 110 y 135 km semanales - Empezar el 27 de enero,,,,,,,,1,43.20,30.24,2025-02-25,2025-02-25,FALSE
443821,Ultra: Race from >42km to 100km - 12 weeks - High weekly volume between 90 and 110 km,,,,,,,,1,43.20,30.24,2025-01-01,2025-01-01,FALSE
562655,"Berlin Marathon 2025 - 12 weeks - 110 to 135 km weekly - Start by June 30, 2025",,,,,,,,1,46.43,30.24,2025-08-08,2025-08-08,FALSE
546034,Plan 16 Semanas: Natación Técnica y Resistencia 🏊 - Polarizado (Principiante - 3x),Spanish,Swimming,All-round,Beginner,16,49.99,TRUE,1,44.90,30.20,2025-09-12,2025-09-12,TRUE
566790,Intermedio: Plan 9 Semanas: Bloque de FTP 🔥 - Sube tu Umbral (Nivel 2),Spanish,Cycling,FTP,Intermediate,9,39.99,TRUE,1,32.00,30.00,,,TRUE
443818,Ultra: Race from >42km to 100km - 18 weeks - High weekly volume between 110 and 135 km,,,,,,,,1,42.00,28.00,2024-04-26,2024-04-26,FALSE
493008,Plan 9 Semanas: 5 km Prep 🏃 + Gym 🏋️ (Intermedios),Spanish,Running,5 km,Intermediate,9,39.99,TRUE,1,40.00,28.00,2025-10-27,2025-10-27,TRUE
603265,8 Week Low-Impact Weight Loss: Swim 🏊 + Home Strength 🏠 (No Gym),English,Swimming,Weight Loss,Beginner,8,39.99,TRUE,1,40.00,28.00,2026-02-23,2026-02-23,TRUE
437461,9 Week Sprint Express: Triathlon 🏊‍♂️🚴🏃 (Time-Crunched triathlete),English,Triathlon,Short - Sprint,Beginner,9,39.99,TRUE,1,43.19,27.99,2024-06-12,2024-06-12,TRUE
443923,17 Week Olympic Build: Triathlon 🏊‍♂️🚴🏃 (Intermediate),English,Triathlon,Olympic,Intermediate,17,59.99,TRUE,1,39.99,27.99,2024-01-23,2024-01-23,TRUE
474289,Maratón de Berlin 2024 - 18 semanas - Hasta 90 kms semanales - Empezar 26 de mayo 2024,,,,,,,,1,42.79,27.99,2024-05-25,2024-05-25,FALSE
603033,8 Week Time-Crunched Weight Loss: Run 🏃 + Home Strength 🏠 (No Gym),English,Running,Weight Loss,Beginner,8,39.99,TRUE,1,42.79,27.99,2026-08-07,2026-08-07,TRUE
