athlete_id,source,signup_date,churn_date,churn_reason
Ae6ab8164,TP Coach Match,2025-04-22,2025-04-22,left_injury
A9b1757f9,TP Coach Match,2025-05-01,2025-06-01,goal_completed
A63ad2c88,TP Coach Match,2025-05-05,2025-06-05,left_injury
A7d01b2ab,TP Coach Match,2025-05-01,2026-01-01,goal_completed
Afc284ab9,TP Coach Match,2025-05-06,2025-09-06,left_unresponsive
A315679f6,TP Coach Match,2025-05-08,2025-07-07,left_service
A7e7dc155,TP Coach Match,2025-05-12,,left_not_training
A705d783f,Private - Referral,2025-05-12,2026-06-12,coach_ended
A0e183716,TP Coach Match,2025-05-21,,
Ab5ce3bfd,TP Coach Match,2025-05-26,2025-06-26,paused_then_left
A31cd0d4f,TP Coach Match,2025-05-29,2025-09-29,left_life
Aee82f2d7,Private - Website,2025-05-30,2025-12-14,left_life
Afc2fdb90,TP Coach Match,2025-06-03,,
A0a8709b4,TP Coach Match,2025-06-02,2025-10-02,left_life
Affecc7e0,Private - Website,2025-07-27,,paused_then_left
A377e1957,TP Coach Match,2025-06-13,2026-04-13,left_injury
A6df6a90a,TP Coach Match,2025-07-01,2026-06-01,left_injury
A7bee0639,TP Coach Match,2025-07-14,2025-09-14,left_injury
A6bc48540,TP Coach Match,2025-07-13,2025-10-13,left_life
Aa24f7f04,Private - Referral,2025-09-01,,
Aed94ae56,TP Coach Match,2025-07-28,2026-04-28,
Aea4bb192,TP Coach Match,2025-08-01,2026-04-01,left_service
A143186dc,TP Coach Match,2025-08-13,2026-04-09,goal_completed
Ac341dcd1,TP Coach Match,2025-08-19,2026-02-19,not_a_churn
A0e683769,Private - Referral,2025-09-06,,goal_completed
Ab9254214,TP Coach Match,2025-09-25,2026-03-25,left_not_training
Ad118ec29,Private - Referral,2025-09-22,2026-04-22,goal_completed
A1219ec52,TP Coach Match,2025-10-04,,
A42278b70,TP Coach Match,2025-09-26,2025-12-26,left_unresponsive
A6026a316,TP Coach Match,2025-11-24,,
A0601c670,TP Coach Match,2025-10-17,2026-04-17,left_injury
A4731fe85,TP Coach Match,2025-10-20,2026-01-20,paused_then_left
A5f937a9f,TP Coach Match,2025-10-24,2026-04-24,left_injury
A9e84ecb9,TP Coach Match,2025-11-15,2026-04-15,left_injury
A3033ff59,Private - Website,2025-11-17,2026-02-17,left_life
Ae4413f27,TP Coach Match,2025-11-29,,
A4368962f,TP Coach Match,2025-11-25,2026-07-25,left_life
A509c2587,Private - Referral,2025-11-25,2026-03-25,left_unresponsive
A48233859,TP Coach Match,2025-12-04,,
A9bdecdb4,TP Coach Match,2025-11-30,2026-01-30,left_injury
Af50a06eb,TP Coach Match,2026-01-07,,paused_then_left
A7d51f372,TP Coach Match,2026-01-06,2026-03-03,left_unresponsive
A8f92571e,TP Coach Match,2026-01-06,2026-05-06,left_money
A7877e4ca,TP Coach Match,2026-01-06,2026-07-06,left_not_training
A92502fe6,TP Coach Match,2026-01-15,,left_injury
A0ac928fe,TP Coach Match,2026-01-15,,left_life
A41664142,TP Coach Match,2026-02-01,,
Acbf437c7,TP Coach Match,2026-01-23,2026-05-23,
Add8dd9c9,TP Coach Match,2026-02-01,,left_unresponsive
Af298ee4e,TP Coach Match,2026-02-02,,
Af6117c15,TP Coach Match,2026-02-11,,
Ac0d7d870,TP Coach Match,2026-02-09,2026-06-09,left_life
A59eaf2ba,TP Coach Match,2026-02-28,2026-03-28,unknown
A73027f5d,Private - Referral,2026-02-23,2026-05-23,left_life
A2bfc89b3,TP Coach Match,2026-02-28,,
Ac6dbd66b,Private,2026-04-04,,
A0a412030,TP Coach Match,2026-04-14,,
Aa5b91314,TP Coach Match,2026-04-21,,
Ae28cb6a1,TP Coach Match,2026-04-21,,
A473506a7,TP Coach Match,2026-04-27,,
A6d04ee79,TP Coach Match,2026-05-03,,
A2fbbc23e,TP Coach Match,2026-05-26,,
Ad84b8588,TP Coach Match,2026-06-15,,
Ada0283c8,TP Coach Match,2026-06-23,,
A8d82cd62,TP Coach Match,2026-06-23,,
Ac73a3a88,TP Coach Match,2026-07-13,,
A8925e90c,TP Coach Match,2026-07-27,,
Aeb01d127,TP Coach Match,2026-08-05,,
