month,source,twenty_id,tp_id,revenue_status,billing_channel,plan,start_date,first_month,status,charged,list_price,monthly_rate,discount,commission_pct,platform_fee,net,premium_fee,startup_fee,last_rate,churn_date,churn_reason,lead_source,country,sex,language
2026-07,derived,2543203e-8771-400c-93c3-e92f251cbe78,5558487,PAYING,COACHMATCH,BRONZE,2025-02-10,2025-02,active,true,149,149,0,20,29.8,119.2,0,0,149,,,REFERRAL,Venezuela,MALE,SPANISH
2026-07,derived,28cf6d94-8624-456c-be42-465538f1cf45,6198661,PAYING,COACHMATCH,BRONZE,2026-02-01,2026-02,active,true,149,99,50,20,19.8,79.2,0,0,99,,,REFERRAL,Mexico,FEMALE,SPANISH
2026-07,derived,2bf0e082-93a8-4859-a641-5a4bc78e8fef,2534328,PAYING,COACHMATCH,BRONZE,2025-12-04,2025-12,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Puerto Rico,FEMALE,SPANISH
2026-07,derived,37908932-1545-4575-8b9e-977fe089c2f9,6458165,PAYING,COACHMATCH,BRONZE,2026-06-23,2026-06,active,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,386375ef-a711-4c80-924f-560ace07cf79,,PAYING,COACHMATCH,BRONZE,2026-01-15,2026-01,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,2026-08-15,LIFE_CIRCUMSTANCES,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,40d8a46d-1eac-4010-910a-170df3d474d1,5246601,PAYING,COACHMATCH,BRONZE,2026-01-15,2026-01,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Paraguay,FEMALE,SPANISH
2026-07,derived,56cc8592-1c7a-4b84-a31d-d0878968dc37,2871905,PAYING,COACHMATCH,BRONZE,2025-11-29,2025-11,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,5af241c5-9e3e-4420-becf-010ca283852a,2198900,PAYING,COACHMATCH,BRONZE,2025-12-05,2025-12,active,true,149,149,0,20,29.8,119.2,0,0,149,2026-09-05,SEASON_BREAK,COACHMATCH,Barbados,MALE,SPANISH
2026-07,derived,7eafdd02-4f2d-4308-9dda-08f4fd4e6946,5728865,PAYING,COACHMATCH,BRONZE,2025-05-21,2025-05,active,true,149,89.4,59.6,20,17.88,71.52,0,0,89.4,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,8e05db5e-1b1e-4c52-9552-8b5b15894e46,5908199,PAYING,COACHMATCH,BRONZE,2026-01-07,2026-01,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Guatemala,MALE,SPANISH
2026-07,derived,93b97696-d64e-459a-8027-98a75b2c8181,4195363,PAYING,COACHMATCH,BRONZE,2026-06-23,2026-06,active,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Mexico,FEMALE,ENGLISH
2026-07,derived,993e23c3-9db3-4847-9520-e816f7fd06de,5923763,PAYING,COACHMATCH,BRONZE,2025-10-04,2025-10,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,a40a0fd8-f60a-4c28-87d7-5c186cf57be0,6299034,PAYING,COACHMATCH,BRONZE,2026-04-14,2026-04,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Puerto Rico,FEMALE,SPANISH
2026-07,derived,a7dc3ac2-910c-4051-9379-b06f0ee3431f,2671283,PAYING,COACHMATCH,BRONZE,2026-02-11,2026-02,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,ba1b3197-e239-4890-a29a-1abc0825d246,5941249,PAYING,COACHMATCH,BRONZE,2025-11-24,2025-11,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,cbbdb0fa-bf34-4979-8c91-d82a952bd225,6405068,PAYING,COACHMATCH,BRONZE,2026-06-15,2026-06,active,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Chile,MALE,SPANISH
2026-07,derived,cef25293-56ad-49e7-afed-f91bd0e56db0,4365755,PAYING,COACHMATCH,BRONZE,2024-11-07,2024-11,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,,,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,d11699fc-af36-42a0-86f0-a52d165f0a54,4579610,PAYING,COACHMATCH,BRONZE,2026-04-27,2026-04,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Venezuela,MALE,SPANISH
2026-07,derived,dabf3c58-afcb-45ad-8471-a542bcb968e5,1271697,PAYING,COACHMATCH,BRONZE,2024-12-23,2024-12,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,,,COACHMATCH,Japon,FEMALE,SPANISH
2026-07,derived,dcefc05f-bea6-4ab9-a730-1b55d216f4cf,6096051,PAYING,COACHMATCH,BRONZE,2026-04-21,2026-04,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Costa Rica,MALE,SPANISH
2026-07,derived,e81bf43c-611e-478f-a0ac-c3a2027ecf33,4364478,PAYING,COACHMATCH,BRONZE,2025-01-02,2025-01,active,true,149,74.5,74.5,20,14.9,59.6,0,0,74.5,2026-08-04,INJURY_HEALTH,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,ea58b8a9-6d37-4b47-81da-2f1aafe45194,3043590,PAYING,COACHMATCH,BRONZE,2026-02-28,2026-02,active,true,149,99,50,20,19.8,79.2,0,0,99,,,REFERRAL,Mexico,FEMALE,SPANISH
2026-07,derived,edbf90ce-7a89-40d4-945a-b2058fd1c2af,3891751,PAYING,COACHMATCH,BRONZE,2026-04-21,2026-04,active,true,149,99,50,20,19.8,79.2,0,0,99,,,COACHMATCH,Chile,MALE,SPANISH
2026-07,derived,f45ff786-f040-4574-8cf8-762cc979cacb,,PAYING,COACHMATCH,BRONZE,2026-02-01,2026-02,active,true,149,99,50,20,19.8,79.2,0,0,99,2026-09-01,NO_RESPONSE,COACHMATCH,Estados Unidos,MALE,SPANISH
2026-07,derived,fd80f81f-b0cb-4cd3-bea5-8dd91e04b325,3229874,PAYING,COACHMATCH,BRONZE,2025-06-03,2025-06,active,true,149,89.4,59.6,20,17.88,71.52,0,0,89.4,,,COACHMATCH,Colombia,MALE,SPANISH
2026-07,derived,51495e62-d7aa-4a7e-8f56-5589aa389794,4431826,PAYING,COACHMATCH,BRONZE,2026-07-13,2026-07,new,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,e54db9a8-5ee4-4064-98fa-531d2d1a9df3,4273581,PAYING,COACHMATCH,BRONZE,2026-07-27,2026-07,new,true,149,149,0,20,29.8,119.2,0,0,149,,,COACHMATCH,Mexico,MALE,SPANISH
2026-07,derived,766fdb77-c1ee-4613-8919-d6feb262a403,5913630,PAYING,PRIVATE,PRIVATE,2025-09-06,2025-09,active,true,149,104,45,3.5,3.64,100.36,0,0,104,2026-09-06,ACHIEVED_GOAL,REFERRAL,Aruba,MALE,ENGLISH
2026-07,derived,7b9fc7fe-2ec3-4c23-afaa-ef92659173de,,PAYING,PRIVATE,PRIVATE,2025-07-27,2025-07,active,true,149,109,40,3.5,3.81,105.19,0,0,109,2026-08-27,SEASON_BREAK,WEBSITE_FORM,Estados Unidos,MALE,SPANISH
2026-07,derived,a6896562-cd02-4139-ae8d-82ec83f309fa,4709158,PAYING,PRIVATE,PRIVATE,2025-09-01,2025-09,active,true,149,89,60,3.5,3.12,85.88,0,0,89,,,REFERRAL,Puerto Rico,FEMALE,SPANISH
2026-07,derived,f64b6d3c-e397-4415-81e5-296cad5bc42d,5774695,PAYING,PRIVATE,PRIVATE,2026-04-04,2026-04,active,true,149,99,50,3.5,3.46,95.54,9,0,99,,,REFERRAL,Puerto Rico,FEMALE,SPANISH
